Name,Created by,Created time,Discussion,Intra-Governance,Last edited time,POAP Status,Snapshot Link,Status,Successfully agreed upon,When approved?
DREAM DAO PROPOSAL #71: DAO Documentarian Evolution,Adarsh,"March 17, 2023 3:37 PM",https://discord.com/channels/896096170621947974/1084823784541929542,No,"March 24, 2023 3:18 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x695ba99cdf0f4c1c9f9713b1a6cf8ade205e93a108d872d266ee6d6f9abe35e9,Vote complete on Snapshot,Yes,"March 21, 2023"
DREAM DAO PROPOSAL #70: Discord Infra #2: Channels & Categories,Adarsh,"January 27, 2023 5:03 PM",https://discord.com/channels/896096170621947974/1067139065180336339,No,"March 22, 2023 8:56 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x27c02fb9de820d1741e655a9ed53b9fad06ab6d9275813b767890734e2bcab50,Vote complete on Snapshot,Yes,"January 31, 2023"
DREAM DAO PROPOSAL #69: Discord Infra #1: Roles & Bots,Adarsh,"January 27, 2023 5:01 PM",https://discord.com/channels/896096170621947974/1067138533216755802,No,"March 22, 2023 8:56 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x941832c22bc69376cf8203d36a66808043e0ef6ae384f2149e747d0757927ae1,Vote complete on Snapshot,Yes,"January 31, 2023"
DREAM DAO PROPOSAL #68: Social Media Coordinator,Adarsh,"January 20, 2023 4:08 PM",https://discord.com/channels/896096170621947974/1064618878140940369,No,"April 25, 2023 8:33 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xfc35075f0236f87ba15856fa4d6eee2e8001a2f023e7b1e52389ff3429692bad,Vote complete on Snapshot,Yes,"January 31, 2023"
DREAM DAO PROPOSAL #67: Using Shutter Voting for Snapshot,Adarsh,"January 20, 2023 4:08 PM",https://discord.com/channels/896096170621947974/1064615206124277780,No,"March 22, 2023 8:56 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xac599c21967b1d2a44ffc3261d4cd8b4a967d3cfe42323e4cc8e9fad06c0097b,Vote complete on Snapshot,Yes,"January 24, 2023"
DREAM DAO PROPOSAL #66: Payment of Season 2 Recurring Roles in Season 3,Adarsh,"January 13, 2023 12:58 PM",https://discord.com/channels/896096170621947974/1062098622709252158,No,"February 25, 2023 4:03 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xbd1cf410f3bec0510c011c5e441ef27e3e6fd14f75695b258b107f0d616d5bd1,Vote complete on Snapshot,Yes,"January 17, 2023"
DREAM DAO PROPOSAL #65: Madison: Temporary Transition Role,Adarsh,"January 13, 2023 12:59 PM",https://discord.com/channels/896096170621947974/1062098167908282428,No,"February 25, 2023 4:02 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x0def9757ff6f2e8417986d9abe1f62710b176785a6bf2d13a4242f3e0cf76962,Vote complete on Snapshot,Yes,"January 17, 2023"
DREAM DAO PROPOSAL #63: Season 3 Leadership Structure,Adarsh,"December 16, 2022 1:57 PM",https://discord.com/channels/896096170621947974/1051902183454543942,No,"February 21, 2023 1:39 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x44ac86f803af53f5c7ed7908c640f1d786ba68ac265cf1a8f850a3f9a482f7c2,Vote complete on Snapshot,Yes,"December 20, 2022"
DREAM DAO PROPOSAL #62: Season 3 Working Groups,Adarsh,"December 9, 2022 3:44 PM",https://discord.com/channels/896096170621947974/1049365709341339719,No,"January 1, 2023 10:27 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x721ebd4ec8198871156a88bc096ec15b0dc31eb28b5dd43f1b129fb014050f3f,Vote complete on Snapshot,Yes,"December 13, 2022"
DREAM DAO PROPOSAL #61: Dream DAO x ETH India📝,Adarsh,"November 25, 2022 3:31 PM",https://discord.com/channels/896096170621947974/1044697524394524742,No,"January 1, 2023 10:27 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xf4d9c6f964dda32f8e92e19357d574b3ec0972fdf65adab3c744dc69353d9e00,Vote complete on Snapshot,Yes,"November 29, 2022"
DREAM DAO PROPOSAL #60: Recurring Role of Twitter Guardian📝,Adarsh,"October 28, 2022 1:57 PM",https://discord.com/channels/896096170621947974/1034183198583824476,No,"December 5, 2022 1:32 PM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x85ae440b82cb710a067b0345588f3a0148cc1bb8147f62d84943cdc0f0e3e878,Vote complete on Snapshot,Yes,"November 1, 2022"
DREAM DAO PROPOSAL #59: Recurring Role of Merit Minter,Adarsh,"October 28, 2022 2:08 PM",,No,"November 2, 2022 4:06 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x6deede424ccc87b89d9f373d5165a037d13f67cdb2b672b746a1cd974e22e8c1,Vote complete on Snapshot,Yes,"November 1, 2022"
DREAM DAO PROPOSAL #58: Explorers Program Retro,Adarsh,"October 28, 2022 1:57 PM",,No,"November 2, 2022 4:06 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x72a34b184ac3ad4c9b7d0799788a378ae54fb7b0ddc8f343f1cdf1ec69e2294e,Vote complete on Snapshot,Yes,"November 1, 2022"
DREAM DAO PROPOSAL #57: Dream DAO Web3 Bootcamp,Adarsh,"September 9, 2022 4:29 PM",,No,"November 2, 2022 4:05 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x2d7c2cbab36a93ac0e7085ec4308f19518924c14642488798cd82a48f6991dfe,Vote complete on Snapshot,Yes,"September 12, 2022"
DREAM DAO PROPOSAL #56: Recurring Role for Onboarding,Ash Kranti Srivastava,"August 25, 2022 1:32 AM",,No,"November 2, 2022 4:05 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x846a25d99e7d4d19fe3ea3969c88637972c3aa9691d47262a74e500b554d7264,Vote complete on Snapshot,Yes,"September 5, 2022"
DREAM DAO PROPOSAL #55: How We Identify Champions Mid-Season,Adarsh,"September 2, 2022 4:25 PM",,No,"November 2, 2022 4:05 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x23d35fc44dee11c23d88e7d2bc52b54088c7f359998ec695cf95c44dcb62a8b8,Vote complete on Snapshot,Yes,"September 5, 2022"
"DREAM DAO PROPOSAL #54: Mentorship Program ",Adarsh,"September 2, 2022 4:25 PM",,No,"November 2, 2022 4:04 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xb212b20d5639996db827fbfd42b036ca603123433ab12d0bab107a51b6528992,Vote complete on Snapshot,Yes,"September 5, 2022"
DREAM DAO PROPOSAL #53: Working Group Lead Payments,Adarsh,"September 2, 2022 4:24 PM",,No,"November 2, 2022 4:04 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x4e2b14d44c708cf9a46d0e2fcb7d70e0456da958f90cc5ccb935448c35e0fcf7,Vote complete on Snapshot,Yes,"September 5, 2022"
"DREAM DAO PROPOSAL #52: 6-month Seasons For Dream DAO ",Adarsh,"August 12, 2022 3:32 PM",,No,"November 2, 2022 4:04 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xa18b6affd9461d10d7c2cd164e33208ac81e6dd491e619635fefa06b47ccb79f,Vote complete on Snapshot,Yes,"August 16, 2022"
DREAM DAO PROPOSAL #51: Travel Logistics,Adarsh,"July 22, 2022 1:01 PM",,No,"November 2, 2022 4:04 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x81cb535972e290f30b4501ff6b48fcab67d213d8b461da3681aa2e74b53aa202,Vote complete on Snapshot,Yes,"July 25, 2022"
DREAM DAO PROPOSAL #50: Paying Recurring Roles,Adarsh,"July 15, 2022 7:13 AM",,No,"January 3, 2023 12:46 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x3a4906ea735796a778e8f0dca6dd5b4d07b263b36a7561d83ba1f4a3987d421b,Vote complete on Snapshot,Yes,"July 18, 2022"
DREAM DAO PROPOSAL #49: Chaperone Policy,Adarsh,"July 15, 2022 7:13 AM",,No,"November 2, 2022 4:03 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0xa3cfb1dc1b5c3a29d43c10e90d546ab0fb124ea0022a914d2a435243bd45d1be,Vote complete on Snapshot,Yes,"July 18, 2022"
DREAM DAO PROPOSAL #48: Sending Builders to ETH Mexico,Adarsh,"July 15, 2022 7:12 AM",,No,"November 2, 2022 4:03 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x05d4898b8edc34e070fd689326425fbfb9ab035504368c972c40862a813ff4f7,Vote complete on Snapshot,Yes,"July 18, 2022"
DREAM DAO PROPOSAL #47: Community Guidelines,Adarsh,"July 8, 2022 8:33 AM",,No,"November 2, 2022 4:03 AM",Linked,https://snapshot.org/#/thedreamdao.eth/proposal/0x794ac3ded46df3f4f0a756935b9385efa1741dad69575d5a6df69fe161491bc8,Vote complete on Snapshot,Yes,"July 11, 2022"
