Design Choice,Notes,Helps fulfill what objectives?,Related to Design Pitfalls (Related to Design Choices (1) (Addresses what pitfalls?)),Answers what design choices/
Interactive Choose-Your-Own-Adventure Pathways,"Build ""stories"" of different people, so people could click one they connected with and read about how someone might get involved with web3.
",To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),,
"If explaining technicalities, explain in the length of a super short tweet","Short, sweet, elegant but comprehensive explanations as needed. 
. ",Accessible in every way possible (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Accessible%20in%20every%20way%20possible%20cc09644db5424cb6a0a2f2c8d7290fbd.md),Web3 jargon can still remain intimidating and alienating to readers with minimal experience.  (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Pitfalls%2021d0f2dfdeab4c8a85bdb33b5751922f/Web3%20jargon%20can%20still%20remain%20intimidating%20and%20alie%2000514f42519a43ff9e0a83df703db1b4.md),
External resource netting,"Be careful about not saturating with hyperlinks and external resources! e.g. Messari Report

Put resources at the end of the page!",To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),,
What tone?,"Use really clear, clean, jargon-free prose that gets to the point instead of getting lost in technical details— similar in style to an Axios newsletter. ",Accessible in every way possible (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Accessible%20in%20every%20way%20possible%20cc09644db5424cb6a0a2f2c8d7290fbd.md),,
Explicity state [who this is for] at the top,Allows people to understand if this resource is relevant for them.,To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),,
Make a good sell at the top; a hot-take,"And every paragraph should be a continuous sell 

High impact/resonance of content should encourage “quoting” & screenshots that could be disemminated as a sharing mechanism across readers. ",Share-able (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Share-able%205db7cefe5556444584d0ae08552ff547.md),,
More movement and animations,"Make it interactive and fun to utilize!

Via animations, colorful illustrations, and gradient backgrounds. ",To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),,
Length considerations: How long should it be? Carve different reading roadmaps!,"Depends on how much time you want to invest into it. Accomodates varying levels of time, experience, and interest. 

Carve different reading roadmaps and integrate in TABLE OF CONTENTS section!",Accessible in every way possible (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Accessible%20in%20every%20way%20possible%20cc09644db5424cb6a0a2f2c8d7290fbd.md),,
Interactive navigation pointers,"Networks build into the software to thread meaningful connections/parallels/supplementary sections. 
",Accessible in every way possible (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Accessible%20in%20every%20way%20possible%20cc09644db5424cb6a0a2f2c8d7290fbd.md),,
Funny interactive pieces,"We are eager to introduce clever, lighthearted humor. Learning should be fun and we want to intentionally integrate playfulness.",To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),,
"Avoid integrating technical explanation of blockchain, crypto, or NFTs","We are focusing on use-cases that are relevant to readers. 

We take inspiration from our relationship to other technologies like the internet. We don’t know exactly what’s going on technically but we are fluent in applicability & usage.",Accessible in every way possible (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Accessible%20in%20every%20way%20possible%20cc09644db5424cb6a0a2f2c8d7290fbd.md),,
Screenshot-friendly designs,"We want to format the illustrations to complement screenshots & screensharing; this incentivizes distribution across users and social media. ",Share-able (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Share-able%205db7cefe5556444584d0ae08552ff547.md),,
Integrate a way for people to leave something on the website or take away something?,"To take passive consumption of the material to the next level, we could integrate a feature that allows users impart a token of appreciation (a sentence or reflection) like an online guestbook.",Share-able (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Share-able%205db7cefe5556444584d0ae08552ff547.md),,
Integrate (continuously) translated versions,"Despite the prevalence of global english, we want to remain accomodating to as many languages as possible. 

",Accessible in every way possible (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/Accessible%20in%20every%20way%20possible%20cc09644db5424cb6a0a2f2c8d7290fbd.md),Less accessible for non-native English speakers. (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Pitfalls%2021d0f2dfdeab4c8a85bdb33b5751922f/Less%20accessible%20for%20non-native%20English%20speakers%20cc4769fb9a95470bb3f57985822e098a.md),
"Like Wikipedia, allow for the continuous update of the pamphlet so that it is a living document. ","Allow verified contributors to edit and re-upload as needed. Contributors can volunteer to iterate from the Dream DAO, mentioned Impact DAOs, as well as the emerging ImpactDAO Hub’s community ",To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),Information accuracy (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Pitfalls%2021d0f2dfdeab4c8a85bdb33b5751922f/Information%20accuracy%20efc89769c2bf44279b4fe4a4614cb5d7.md),
Integrate short quiz-like questions to supplement the passive reading sections,"We will sprinkle in 1-3 short quiz questions after high-value reading sections. ",To Greenpill (ABRIDGED%20%5Bnoob-friendly%20regen%5D%20web3%20human%20library%20e249dad5756a4d68951d1dd5003a0d5f/Design%20Objectives%20b68269420ba84e2380a2de968c35d4d8/To%20Greenpill%202ede48e11293409fad0fb98ef3c1ac31.md),,
Contributors’ signatures,"We’ll leave some space to give credit to the site’s designers via a small signature towards the end. ",,,
Opportunity to 1:1 chat with regen web3 insiders,"Speak multiple languages, belong to different areas of expertise",,,
