Name,Category,Accessible by,Remark,Optional Channel?,Date
🚀start-here🏁,Public,All users,,NO (but not needed by DreamerZ in general),
🎑welcome🌟,Public,All users,,NO (but not needed by DreamerZ in general),
🛰️request-access🛰️,Public,All users,,NO (but not needed by DreamerZ in general),
🚉public-general🌌,Public,All users,,NO (but not needed by DreamerZ in general),
🌞gm,Public,All users,,NO (but not needed by DreamerZ in general),
📣announcements📣,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
😌react-for-access😌,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
👋introduce-yourself👋,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
💖community-love💖,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
🌻reflections-and-wellness📔,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
🧑‍🚀skywalkerz🧑‍🚀,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
📰news-n-inspiration✨,Friends of DAO,"DreamerZ, Friend of DAO",,YES,
🌞solarpunk-x-desci⚛️,Friends of DAO,"DreamerZ, Friend of DAO",,YES,
📚learning-togethers📚,Friends of DAO,"DreamerZ, Friend of DAO",,NO,
🚀opportunities🚀,Friends of DAO,"DreamerZ, Friend of DAO",,YES,
😜random🤓,Friends of DAO,"DreamerZ, Friend of DAO",,YES,
🏮the-solarpunk-lounge (voice channel),Public,"DreamerZ, Friend of DAO",,NO,
📣DreamerZ Announcements📣,DreamerZ,DreamerZ,,NO,
🕚bandwidth-checkins🕚,DreamerZ,DreamerZ,Includes the focus mode option and opt-in reaction badges that denote their bandwidth for the week,NO,
🗣️dao-council🗣️,Operations,The DAO Council,,NO,
❓ask-anything✅,DreamerZ,DreamerZ,,NO,
🧠ideas-and-proposals📝,DreamerZ,DreamerZ,,NO,
🎆community-building🌄,DreamerZ,DreamerZ,,YES,
🎆governance🏦,DreamerZ,DreamerZ,,YES,
🎆partnerships🤝,DreamerZ,DreamerZ,,YES,
🎆gatherings🥳,DreamerZ,DreamerZ,,YES,
🌻unplugging🫂,DreamerZ,DreamerZ,,NO,
🧑‍🚀explorers-programme🚀,Operations,DreamerZ,,YES,
✍️dao-editorials📟,Operations,DreamerZ,,YES,
Server-logs,Operations,,,,
🆒NEAR Working Group💕,DreamerZ,DreamerZ,,YES,
🌟Bounties🌟,DreamerZ,,,,
