Design Choice,Notes,Helps fulfill what objectives?,Answers what design choices/
Interactive Choose-Your-Own-Adventure Pathways,"Build ""stories"" of different people, so people could click one they connected with and read about how someone might get involved with web3.

Examples:
- ""Are you a climate nerd?"" →  short primer for Ethereum 2.0 and on-chain carbon 
- ""Are you an artist? → an intro to ecodao and projects like Coral Tribe
- ""Have a passion for donating (effective altruism)?"" → point them to Gitcoin and retroactive public goods funding
- ""High school or college student hoping to learn how to change the world"" → Dream DAO and Crypto, Culture, and Society",To Greenpill (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/To%20Greenpill%20e7a4aac761274d5091c63fcbb2cc5afb.md),So should we have different sections for different audiences? Like a buffet? (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Questions%20(1)%20bdbda912f3d04313a9abb7cd83f2a0e5/So%20should%20we%20have%20different%20sections%20for%20different%20a388cc7c36934f8fa8ccf6734750c2b1.md)
"If explaining technicalities, explain in the length of a super short tweet","Short, sweet, elegant but comprehensive explanations as needed. 

But also gracefully explain things within the original text. People can get a taste and people can choose their own highlights from the reading. ",Accessible in every way possible (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/Accessible%20in%20every%20way%20possible%2061da2846e3e445b696a34d983aa3fa11.md),
External resource netting,"Be careful about not saturating with hyperlinks and external resources! e.g. Messari Report

Put resources at the end of the page!",To Greenpill (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/To%20Greenpill%20e7a4aac761274d5091c63fcbb2cc5afb.md),"Do we want people to revisit the text? Or read it once and branch off of it onto new resources? Or both? (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Questions%20(1)%20bdbda912f3d04313a9abb7cd83f2a0e5/Do%20we%20want%20people%20to%20revisit%20the%20text%20Or%20read%20it%20o%2042e244fb40da4abab6f687d366fd3566.md), If it's introductory, then wouldn't it be difficult to make people come back as they take dives at the deeper end? We would have to make it so that it's like a node that holds the other nodes together- we don't want to create information gap esp for newbies. (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Questions%20(1)%20bdbda912f3d04313a9abb7cd83f2a0e5/If%20it's%20introductory,%20then%20wouldn't%20it%20be%20difficul%20b26c81c2e5a849bbbde0dd00c75d0890.md)"
What tone?,"Tone should reflect the culture. Introduce humor! It connect people and makes narratives easier.

Use really clear, clean, jargon-free prose that gets to the point instead of getting lost in technical details— similar in style to an Axios newsletter. ",Accessible in every way possible (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/Accessible%20in%20every%20way%20possible%2061da2846e3e445b696a34d983aa3fa11.md),
Explicity state [who this is for] at the top,Allows people to understand if this resource is relevant for them.,To Greenpill (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/To%20Greenpill%20e7a4aac761274d5091c63fcbb2cc5afb.md),
Make a good sell at the top; a hot-take,"And every paragraph should be a continuous sell 

High impact/resonance of content should encourage “quoting” & screenshots that could be disemminated as a sharing mechanism across readers. Hot-takes are provocative & can effectively optimize distribution amongst users.",Share-able (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/Share-able%202bbec6f89f54442c99e19739050be736.md),
More movement and animations,"Make it interactive and fun to utilize!

Via animations, colorful illustrations, and gradient backgrounds. ",To Greenpill (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/To%20Greenpill%20e7a4aac761274d5091c63fcbb2cc5afb.md),
Length considerations: How long should it be? Carve different reading roadmaps!,"Depends on how much time you want to invest into it. Accomodates varying levels of time, experience, and interest. 

Carve different reading roadmaps!
low-lift: to read through couple paragraphs
med-lift: to read through selections of choice
high-lift: to digest entire contennt
integrat in TABLE OF CONTENTS section!",Accessible in every way possible (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/Accessible%20in%20every%20way%20possible%2061da2846e3e445b696a34d983aa3fa11.md),
Interactive navigation pointers,"Networks build into the software to thread meaningful connections/parallels/supplementary sections. This will make it significantly easier to navigate & consume. 

e.g. “If you’re not satisfied with the environmental aspect, here are the 3 paragraphs of the environmental tingz”",Accessible in every way possible (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/Accessible%20in%20every%20way%20possible%2061da2846e3e445b696a34d983aa3fa11.md),
Funny interactive pieces,"We are eager to introduce clever, lighthearted humor. Learning should be fun and we want to intentionally integrate playfulness for a richer, regen-true vibe!

e.g. blockchain explainer = type a guilty secret in the box but you can’t backspace (gottem!)",To Greenpill (%5Bnoob-friendly%20regen%5D%20web3%20human%20library%2064d79198160a4f159785a94f07f29c62/Design%20Objectives%20ec2408edd6b94b75a183fee04dcd6082/To%20Greenpill%20e7a4aac761274d5091c63fcbb2cc5afb.md),
