Question,Answer
What is an NFT?,"Non-fungible token (NFT) is a term used to describe a unique digital asset whose ownership is tracked on a blockchain, such as Ethereum.  https://linda.mirror.xyz/Vh8K4leCGEO06_qSGx-vS5lvgUqhqkCz9ut81WwCP2o provides a good intro to the world of NFTs."
How can I mint a SkywalkerZ NFT?,"Starting on October 11th, 2021, you can mint the NFTs at getskywalkerz.com."
How many SkywalkerZ NFTs can I mint?,"You can mint up to 30 SkywalkerZ, up to 10 at at time. If you are accepted as a member of the Dream DAO, you must have 1 NFT to maintain membership, and additional NFTs do not give you more voting power."
"How do the NFTs work? ","Each NFT is unique, with different NFTs having different attributes (e.g. background, helmet, hat, chest plate) of different rarities.

It is easy to resell these NFTs on any NFT marketplace like OpenSea.

Holding a SkywalkerZ NFT is your ticket to joining and participating in the Dream DAO."
What is a DAO?,DAOs are internet communities with a shared cap table and bank account. https://linda.mirror.xyz/Vh8K4leCGEO06_qSGx-vS5lvgUqhqkCz9ut81WwCP2o provides a good intro to the world of DAOs.
Is participation in the DAO required?,"No. But purchasing a SkywalkerZ NFT helps fund the DAO. "
What are the benefits of being a member of the DAO?,"→ Join a community of like-minded funders and builders
→ Access to the Dream DAO Discord
→ You will be airdropped governance tokens if we choose to release one
→ SkywalkerZ resale value will grow as the Civics Unplugged movemnt grows"
Why are we giving a Gen Zer and NFT for every SkywalkerZ NFT minted,"For every SkywalkerZ NFT purchased, one SkywalkerZ NFT is given to an active member of CU’s existing Gen Z community to maintain an intergenerational balance of decision-making power and to ensure all members—older and younger—are all incentivized to contribute to the success of Civics Unplugged's youth-centered movement.

This system incentivizes Champions to hold their SkywalkerZ NFT(s), so that Gen Z members (called ""Builders"") will benefit from the rising asset value of the NFTs.

Giving Gen Zers NFTs is not just a great way to help them generate wealth, it also helps accelerate their financial literacy—especially of decentralized finance—by virtue of having skin in the game."
What is Civics Unplugged doing about the environmental impact of NFTs and Crypto?,"Civics Unplugged understands the impact NFTs and the crypto world has on the environment, and we are exploring methods of carbon offsetting to ensure our mining and DAO experiment does not cause damage to the world our Gen Z leaders will hold in their hands."
How is it decided which members of CU’s existing Gen Z community get to join the Dream DAO?,"Selected by the Civics Unplugged team with the advisement of our Gen Z lead Steering Committee based on a variety of factors which primarily focuses on involvement within the community and interest in learning web3 and engaging + cobuilding with the Dream DAO Champions. In Phase 2, the members of the Dream DAO will collectively review and select new members from applications. In Phase 3, membership is managed by a dedicated working group."
How can I really dive deep into all of this?,You can read our whitepaper https://www.notion.so/5142d24477064342b71267242f15749b?pvs=21.
