Responsibility,Owner,Context
Create Discord events once they are confirmed,Vedanth,
Support with role assignment + moderation.,"Dariel, Vedanth, Karl",
Dream Journal,"Charlotte, Jae-Hee, Emmani",
Intros Club management,Madison,
Post-event thanks you card for Outside Speakers,Ash,
Log non-Learning Together contributions (that aren’t already logged),Ash,Don’t worry about putting the size if you don’t want to express your intuition on the size of the contribution. Community + governance wgs can figure that out retroactively.
Learning Together session - almost everything about it,"Charlotte, Vedanth",
Submit Proposals to Snapshot,Vedanth,
,,
Blog Drafting Approval Process,,
