Name,Tags,Link/Remark
Toolkit Task List,work,
The Dream DAO Phase 1,"Link, Purpose",https://www.notion.so/5d1213d43ce14512a6b106d7fdb07b4c?pvs=21
Vote for your favourable slot!,"Link, Task, work","Refer this link to the discord message to vote
https://discord.com/channels/896096170621947974/932069817937195058/933542852766621806"
DAO Member Directory,"Link, work",../../../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Founding%20Voting%20Member%20Database%20Director%20353cd716a7f64dbc95acae74e661dbf4.md
How to make a poll on Discord,"Link, work",https://www.remote.tools/remote-work/how-to-make-a-poll-on-discord
The Dream DAO Open Library,"Link, work",https://www.notion.so/738d91bcf871449294f962e3b59f467c?pvs=21
CB MEMBERS DIRECTORY,,
The Dream DAO in a Nutshell,Purpose,https://nutshell.dreamdao.xyz/
DAO Essentials: 6 OPs,"Link, work",https://mirror.xyz/daomstr.eth/YNr-PuwUgp9LoK6xlrHhLlfKKo2GHzR8g00wBnfhQbc
Dream DAO Working Groups,Link,https://www.notion.so/Dream-DAO-Working-Groups-cc93a0ed8324410b8ee289255635e2b1?pvs=21
