Name,Attendees,Date,Event type,Host,POAP admin link,Recording (Video)
Dream DAO Learning Together #24: “Futures Thinking”,,"April 26, 2022",Learning Together,Eddie Choo,https://app.poap.xyz/admin/events/dream-dao-learning-together-24-futures-thinking-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/d2437de4-3655-4210-b1f6-196e5a07ad1e
"SkywalkerZ batch #2 Jam ",,"April 23, 2022",Design Jam,George Pór,,
Community Working Group Call,,"May 1, 2022 7:00 AM (GMT+5:30) → 7:30 AM",,,,
Dream DAO Learning Together #23: “Conflict Resolution”,,"April 23, 2022",Learning Together,George Pór,https://app.poap.xyz/admin/events/dream-dao-learning-together-23-conflict-resolution-2022,"../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/513e4ca7-7f62-425f-a916-f5f0153af2e9.mp4, ../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/513e4ca7-7f62-425f-a916-f5f0153af2e9%201.mp4"
Dream DAO NFT Jam 🥁,,"April 17, 2022",Design Jam,Gary,,../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/video1905106824.mp4
Dream DAO Learning Together #22: “How Governments Can Use Web3”,,"April 19, 2022",Learning Together,Ariana Fowler,https://app.poap.xyz/admin/events/dream-dao-learning-together-22-how-governments-can-use-web3-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/a8f26129-696d-42d0-93cb-5728c36dda76
Dream DAO Cross-DAO Jam Session #1 🥁,,"April 13, 2022",Design Jam,Gary,,https://app.butter.us/recording/Dream-DAO-Group-Jam-/a60c3191-bf98-4c4b-8c58-40f5abb20d84
Explorers Program Meeting #3,,"April 11, 2022",,"Allison, Amanda, Gary",,
Dream DAO Learning Together #21: “GnomadiclifeDAO”,,"April 11, 2022",Learning Together,Daniel Aalfs,https://app.poap.xyz/admin/events/dream-dao-learning-together-21-gnomadiclifedao-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/90ca24d5-8471-499c-9be2-acc64c7470ed
Dream DAO Season 1 Retro 🔍,,"April 6, 2022",Season Retrospective,Gary,,https://app.butter.us/recording/Dream-DAO-Retro/98714400-a396-48bd-8c04-46f164d30e7b
Dream DAO Learning Together #20: “How To Create An NFT Without Writing Any Code”,,"April 9, 2022",Learning Together,Samina,https://app.poap.xyz/admin/events/dream-dao-learning-together-20-how-to-create-an-nft-without-writing-any-code-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/bf932b86-83f3-4ee6-9767-a36ac3d1c348
Dream DAO Learning Together #19: “How We Unite Humanity”,,"April 9, 2022",Learning Together,Elliot Bayev,https://app.poap.xyz/admin/events/dream-dao-learning-together-19-how-we-unite-humanity-2022,https://app.butter.us/recording/Dream-DAO-Learning-Together/f92561a2-4b7f-4958-bea0-122410adf909
Dream DAO Learning Together #18: “Anyone Can Be a Writer: How to Build a Web3 Career Around Words”,,"March 26, 2022",Learning Together,Samantha J Marin,https://app.poap.xyz/admin/events/dream-dao-learning-together-18-anyone-can-be-a-writer-how-to-build-a-web3-career-around-words-2022,
Blog Series Meetup #2,,"March 18, 2022",Design Jam,Tim,,"../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/video1354390122.mp4, ../../../Evergreen%20Documents%20976d2984e99f4146b4283457a2303a7c/Evergreen%20Documents%20Database%20db1ccc6322ae474dba4b59d6b687d080/Dream%20DAO%20Events%205eb4b870ef7643a4986aa5b6f0fdb3b8/video1354390122%201.mp4"
