Contributions,Name,Date,Assigned by
Record Second Meeting,,"July 21, 2022",
Take Notes for Second Meeting,,"July 21, 2022",
Research about Zebu Live,,"July 26, 2022",
"Research about Devcon Bogotá, NFT Show Europe, https://bit.ly/3mmNLOL & Blockchain Expo Europe 2022",,"July 27, 2022",
Record Third Meeting,,"July 28, 2022",
Take Notes for Third Meeting,,"July 28, 2022",
"Record Fourth Meeting ",,"August 4, 2022",
"Take Notes for Fourth Meeting ",,"August 4, 2022",
"Take Notes for Fifth Meeting ",,"August 11, 2022",
Take Notes for Sixth Meeting,,"August 20, 2022",
Take Notes for Seventh Meeting,,"August 27, 2022",
Takes Notes for Eighth Meeting,,"September 10, 2022",
Take notes for Ninth Meeting,,"September 17, 2022",
