Name,Date,"Recording ",Attendees
"Kickoff Meeting ","July 16, 2022",,
"Second Meeting ","July 21, 2022",https://drive.google.com/file/d/1p4zMHJKRCT4JbRxlKtYNyplAC-y0lmML/view?usp=sharing,
Third Meeting,"July 28, 2022",https://drive.google.com/file/d/10X7wwVI0dw8vhYiS4xYpwwfuvIylfnwC/view?usp=sharing,
"Fourth Meeting ","August 4, 2022",https://drive.google.com/file/d/1saRq7IgTOyaOH4llI0chh-TD1YPDmvw-/view?usp=sharing,
"Fifth Meeting ","August 11, 2022",https://drive.google.com/file/d/1jyhuI2mg-J8p1EkrMxEa20XhABH2KzsZ/view?usp=sharing,
Sixth Meeting,"August 26, 2022",https://drive.google.com/file/d/1qBfjRjAF2ZpPCXFToQD56K8rwh58pmVU/view?usp=sharing,
Seventh Meeting,"September 3, 2022",,
"Eighth Meeting ","September 10, 2022",https://drive.google.com/file/d/1fGztgXjD7kHC9oBKU9RYpeVzf5Jb_GKc/view?usp=drivesdk,
Ninth Meeting,"September 17, 2022",https://drive.google.com/file/d/1jdgKHIoMM2bpltnNe5lcE6uASsyLFcUc/view?usp=sharing,
Tenth meeting,"September 24, 2022",https://drive.google.com/file/d/1z-L09v5uHrXj49Iy43ZiITcXxRM2frqo/view?usp=sharing,
Eleventh meeting,"October 1, 2022",https://drive.google.com/file/d/1AxcZ_LWKtqTSyODDT5EfQSvajkxNuyWa/view?usp=sharing,
Twelfth Meeting,"October 22, 2022",https://drive.google.com/file/d/1h7Wm4Ydd4epavk_MJljas9KEXzBWVPjU/view?usp=sharing,
