Design Choice,Notes,Achieves what objectives
The first 30 Spacemen NFTs will be transferred to the FOUNDING CHAMPIONS who were specifically invited to participate in the DAO,We want to create hype around the DAO before we do a public NFT sale.,#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
A person who buys a Spaceman NFT gets to join the Civics 2030 DAO,This is more than just about people speculating on resale value of NFTs.,#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
"The Civics 2030 DAO is where the Civics 2030 Builders and the Civics 2030 NFT-holders (let's call these NFT-holders ""Champions"") come together + can chat",We will likely manage the DAO communication primarily via Discord (which is the default communication platform of crypto communities).,#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
"There are only 2,030 Spacemen that will ever be minted","→ ~2000 is a relatively big community size but not TOO big (so there is a sense of exclusiveness)
→ 2030 is a very significant number for CU",#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
CU team creates a whitepaper about this Master Plan (NFT / DAOs etc),"This is for people who want to understand the mechanics before buying an NFT / joining the DAO. ",#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
We don't charge a membership fee to some of our existing supporters (who may not be of the donor class) but can provide a lot of value in other ways,"For many of these people who don't have financial capital but have other forms of capital (big following, credibility in some space), the money we could raise from begging them to buy is not worth the risk of losing the ability to get their clout (which is worth more than $400).",#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
"There is a weekly (or some other frequency) auction of ""NFT Civic Super[Hero's Journeys]"" in a later phase of the Master Plan rollout","Once our initial Champion community is formed after selling some critical mass amount of Spaceman NFTs, we will eventually kick off... more-or-less...

Civics 2030, the Video Game, where both Builders and Champions are heroes of this video game and doing what they can to build this movement.",#2: Get the most promising leaders of the Builder community FUNDED (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#2%20Get%20the%20most%20promising%20leaders%20of%20the%20Builder%20c%20cf4bdf1cf5a849efbf7bcdf08812317f.md)
The Builder community approves the creation of an NFT Superhero Journey for sale,"The Builder community will establish and carry out a process of approving which NFT Superhero Journey's get created for auction to Champions.

This ensures that the Builder community is incentivized to help Journey creators craft compelling journeys and also ensures that Builders feel like the process of who was picked was fair (no nepotism).

This also will increase Builder engagement because it helps them feel like they are a key part of Civics 2030, the movement-building video game.",#3: Supercharge Fellowship recruitment+engagement and Builder engagement+retention (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#3%20Supercharge%20Fellowship%20recruitment+engagement%20a%20fb9b523bfb2e4abe975f125d82cfa206.md)
Champions are the only people who have the ability to buy NFT Superhero Journey,This creates a serious incentive for people to become a Champion.,#1: Build a community of Champions committed to investing in Builders (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#1%20Build%20a%20community%20of%20Champions%20committed%20to%20inv%20b11b2f142f704ec588b3bc67f8c4ccdf.md)
Builders are the only people even eligible to get funding from the DAO community,This creates a STRONG incentive for kids to do the Fellowship and join our community.,#3: Supercharge Fellowship recruitment+engagement and Builder engagement+retention (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#3%20Supercharge%20Fellowship%20recruitment+engagement%20a%20fb9b523bfb2e4abe975f125d82cfa206.md)
"Spaceman NFT revenues go to CU (which as we all know invests in kids already) ",This makes sense for maybe obvious reasons.,#2: Get the most promising leaders of the Builder community FUNDED (The%20NFT-powered%20Master%20Plan%20for%20Taking%20CU%20to%20the%20N%207dc343306f3b4315837487beeb5aa0a7/Design%20Objectives%207df326d2b4e64a7c919c23f26e93dc55/#2%20Get%20the%20most%20promising%20leaders%20of%20the%20Builder%20c%20cf4bdf1cf5a849efbf7bcdf08812317f.md)
