Resource title,Topic(s),Link,Type,Reviews,Average Rating,Recommended?,Average reading time (hours),When we upload it
Whiteboard Crypto,Crypto,https://www.youtube.com/c/WhiteboardCrypto,Youtube Channel,the most beginner-friendly resource I've ever seen (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/the%20most%20beginner-friendly%20resource%20I've%20ever%20seen%20f662ea5b071541c595d97237321cd973.md),1,Yes,,"January 4, 2022 11:44 AM"
Messari's Crypto Theses for 2022,"Crypto, Web3 general",https://messari.io/pdf/messari-report-crypto-theses-for-2022.pdf,Book,Part of the Learning Group Sessions (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/Part%20of%20the%20Learning%20Group%20Sessions%20d155bc61a4154306aa4ff9b467ba801f.md),1,Yes,,"January 4, 2022 12:01 PM"
10 Predictions About Crypto in 2022 with Ryan Selkis,Crypto,https://m.youtube.com/watch?v=n3PExi_z4mc,Video,Recommend  (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/Recommend%20bd39d3df4eb946aca22e7699c864bb51.md),1,Yes,,"January 4, 2022 12:03 PM"
Chris Dixon and Naval Ravikant — The Wonders of Web3 And Much More | The Tim Ferriss Show,Web3 general,https://open.spotify.com/episode/3U4wMKyvMUhB83qf8FaA3I?si=e26aa0b8b8b54bb3,Podcast episode,good overview (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/good%20overview%20e332ff8fc3c7407dae639d60a5fbe1d4.md),1,Yes,,"January 4, 2022 12:13 PM"
Web 3 Onboarding by kapslap.eth,Web3 general,https://mirror.xyz/kapslap.eth/jsXyWQAqc3cXJeYGzaUBkQblTuob8FUwJMkUgfaotjw,Article,Great for beginners (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/Great%20for%20beginners%2047ef0d6d0a8a4fe99260df63fc052ede.md),1,Yes,0.1,"January 4, 2022 12:18 PM"
Web 3 University,"Web3 general, blockchain",https://www.web3.university/,website,,0,,,"January 4, 2022 12:24 PM"
How to DeFi Beginner,DeFi,https://drive.google.com/file/d/1owH3G54yXLzFZcz7q43tBIcaRSLblO2l/view?usp=sharing,Book,valuable (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/valuable%20f28573dc194c4de381b0ab96da0fdc8b.md),1,Yes,,"January 4, 2022 12:25 PM"
How to DeFi Advanced,DeFi,https://drive.google.com/file/d/1xtNlX7bPB4fotPamLdp5OW9ir1idl4ml/view?usp=sharing,Book,valuable (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/valuable%20f28573dc194c4de381b0ab96da0fdc8b.md),1,Yes,,"January 4, 2022 12:25 PM"
Sunvault: Stories of Solarpunk and Eco-Speculation,Solarpunk,https://cucrew.notion.site/Sunvault-Stories-of-Solarpunk-and-Eco-Speculation-75b5f7cef169477689b6f53f4230debe,Book,Just starting to read (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/Just%20starting%20to%20read%205ba5d1eb8b2549c48a471511f685331f.md),0.666666666667,TBD - still consuming,,"January 5, 2022 1:34 AM"
Odyssey: Intro to Web3,"Crypto, DAOs, DeFi, NFTs, Web3 general, blockchain",https://www.odysseydao.com/pathways/intro-to-web3,website,Jae-Hee's emerging review (Dream%20DAO%20Open%20Library%20(w%20Reviews)%20738d91bcf871449294f962e3b59f467c/Dream%20DAO%20open%20library%20-%20resource%20reviews%208300b594497a424eb2e6980eee162cf9/Jae-Hee's%20emerging%20review%200705775095a24df58d534b11f491bcae.md),1,Yes,2,"January 5, 2022 8:11 PM"
