Name,Created by,Snapshot Link,Status,POAP Status,Successfully agreed upon,Discussion,When approved?,Created time
DREAM DAO PROPOSAL #73: Election Documentation,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xcae31a5ed5ccbdfefe1cc9096e7738cf8d9a61e1e6f9b3cb6aabca624fd9e58b,Voting Ongoing,Not Linked,,https://discord.com/channels/896096170621947974/1115352394314817629,,"June 12, 2023 6:28 PM"
DREAM DAO PROPOSAL #72: New Agreement Process,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xcebfa93d4498bb7f3f17b27ee047eaffaf7ae96beacc9229c4cd2132bfcb0be0,Vote complete on Snapshot,Not Linked,Yes,https://discord.com/channels/896096170621947974/1087487920279138384,,"March 24, 2023 2:55 PM"
DREAM DAO PROPOSAL #71: DAO Documentarian Evolution,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x695ba99cdf0f4c1c9f9713b1a6cf8ade205e93a108d872d266ee6d6f9abe35e9,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1084823784541929542,"March 21, 2023","March 17, 2023 3:37 PM"
DREAM DAO PROPOSAL #70: Discord Infra #2: Channels & Categories,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x27c02fb9de820d1741e655a9ed53b9fad06ab6d9275813b767890734e2bcab50,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1067139065180336339,"January 31, 2023","January 27, 2023 5:03 PM"
DREAM DAO PROPOSAL #69: Discord Infra #1: Roles & Bots,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x941832c22bc69376cf8203d36a66808043e0ef6ae384f2149e747d0757927ae1,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1067138533216755802,"January 31, 2023","January 27, 2023 5:01 PM"
DREAM DAO PROPOSAL #68: Social Media Coordinator,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xfc35075f0236f87ba15856fa4d6eee2e8001a2f023e7b1e52389ff3429692bad,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1064618878140940369,"January 31, 2023","January 20, 2023 4:08 PM"
DREAM DAO PROPOSAL #67: Using Shutter Voting for Snapshot,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xac599c21967b1d2a44ffc3261d4cd8b4a967d3cfe42323e4cc8e9fad06c0097b,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1064615206124277780,"January 24, 2023","January 20, 2023 4:08 PM"
DREAM DAO PROPOSAL #66: Payment of Season 2 Recurring Roles in Season 3,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xbd1cf410f3bec0510c011c5e441ef27e3e6fd14f75695b258b107f0d616d5bd1,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1062098622709252158,"January 17, 2023","January 13, 2023 12:58 PM"
DREAM DAO PROPOSAL #65: Madison: Temporary Transition Role,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0x0def9757ff6f2e8417986d9abe1f62710b176785a6bf2d13a4242f3e0cf76962,Vote complete on Snapshot,Linked,Yes,https://discord.com/channels/896096170621947974/1062098167908282428,"January 17, 2023","January 13, 2023 12:59 PM"
DREAM DAO PROPOSAL #64: S3 Coordination and/or Community Wizard,Adarsh,https://snapshot.org/#/thedreamdao.eth/proposal/0xd051fc94d62cef1645acf72e108f307c242219d57471739300b32bf38d9cef73,Vote complete on Snapshot,Linked,No,https://discord.com/channels/896096170621947974/1059536017603952700,,"January 6, 2023 5:56 PM"
