Name,Type,Remarks
CU Staff,Membership,
Co-Steward,Role,
WG Lead,Role,Basically a WG Lead key role but in the right place (as it is now a role)
Agreements Coordinator,Role,
LT Coordinator,Role,
SM Coordinator,Role,
POAP Wizard,Role,
Dream Journal Writer,Role,
Merit Minter,Role,
Documentarian,Role,
Onboarding Coordinator,Role,
🤖,Misc,Helps us keep bots in one place
ㅤㅤㅤㅤ〘ㅤMembershipㅤ〙ㅤㅤㅤ,Divider,
Dream DAO Builder,Membership,
Dream DAO Champion,Membership,
Collab.Land,Bot,Essential to verify assets.
SkywalkerZ HODLer,Membership,
Bootcamp Participant,,
Friend of DAO,Membership,
Vulcan Bot,Bot,Easy no-login Captcha verification
Verified,Membership,
ㅤㅤㅤㅤㅤ〘ㅤGroupsㅤ〙ㅤㅤㅤㅤ,Divider,
Governance WG,WG,
Grants WG,WG,
Gatherings WG,WG,
ㅤㅤ ㅤ ㅤㅤ〘ㅤKeysㅤ〙ㅤㅤ ㅤㅤ,Divider,
🔑 Events,Perms,
🔑 Roles,Perms,
🔑 Tags,Perms,
🔑 Announcements,Perms,
Server Booster,Misc,
Ticket Tool,Bot,This is essential for Friend of DAO tickets.
Paperform Bot,Bot,
gmBot,Bot,
