Site,Likelyhood,Status,"Who is reaching out? ",Any contact so far?,Point of Contact,Email
Ava Labs,Unsure,Not reached out,Amanda Maritan,,,
Talent Protocol,Unsure,Can't Host,Amanda Maritan,"Yes, no positions open",,
Uniswap,Unsure,,,"Amanda reached out to someone from Uniswap she met in Lisbon, summer internships at Uniswap already started",,
Bankless,Unsure,Reached out,,,,
Rarible,Unsure,,,,,
Solana,Unsure,Reached out,"Amanda Maritan, PlantBoi",,Kash from Superteam,
Wonderverse,Unsure,Reached out,,,"based on S1 interest
Andros Wong, co-founder
@0xAndros",
Angel Protocol,Unsure,,,,"based on S1 interest
Chauncey",
Toucan,Unsure,,,,based on S1 interest,
W3ST DAO,Unsure,,,,Marco?,
Basin DAO,Unsure,,,,Adarsh - S2 intern,
Ecorise DAO,Unsure,,,,based on S1 interest,
Spirals Protocol,Low,Reached out,PlantBoi,,Douglas and Helena,
DoinGud,Low,Reached out,PlantBoi,No response,Andrew (Telegram),
Climate Collective,Low,Confirmed Interest,Amanda Maritan,Yes,"Nirvaan ",
Aera Force,Low,Reached out,Amanda Maritan,Yes,"Will, Tyler and Josh",
Crypto Tech Women,Low,Reached out,Amanda Maritan,Yes,Serena,
Polygon,Low,,,,,
Water DAO,Medium,Confirmed Interest,"PlantBoi, Amanda Maritan",,Aaron,
Coral Tribe NFT,Medium,Call Booked,PlantBoi,Yes,Numa,
Consensys,Medium,Call Booked,PlantBoi,Yes,Sabrina,
Super Team DAO,Medium,Reached out,Amanda Maritan,"No response ",Kash,
"Simbiótica Finance ",Medium,Can't Host,Amanda Maritan,Yes,Paula Palermo,
LIquality,Medium,,,,Thessy Mehrain,
DeSci projects (various),Medium,,,,Carl?,
"Giveth ",Medium,Reached out,"Timofei Dort-Golts, Amanda Maritan",Amanda reached out to Almond,Almond,
H.E.R DAO,Medium,Reached out,"PlantBoi, Amanda Maritan","Yes, she didn’t respond",Amanda?,
"Utopia Labs ",Medium,Reached out,"Timofei Dort-Golts, PlantBoi","Twitter DMd Kaito, could message Alexander if needed",Kaito,
All For Climate DAO,Medium,,PlantBoi,,,
Third Web,Medium,,PlantBoi,,,
DoinGud,Medium,Reached out,PlantBoi,,Mads?,
"Protein ",Medium,Can't Host,PlantBoi,"No response, followed up","Deniz ",
Thallo,High,Confirmed Interest,"PlantBoi, Amanda Maritan",,Hayley,
"Giveth ",High,Confirmed Interest,PlantBoi,,Almond,
ReFi DAO,High,Confirmed Interest,"PlantBoi, Amanda Maritan","Yes, emails with Anna",dudes we did a pod with in the beginning of a season,
"Celo ",High,Reached out,PlantBoi,"No response, followed up",Nirvaan?,
"Regen Network ",High,Can't Host,PlantBoi,,Sarah Baxendell/Ash Kranti,
dOrg,High,Can't Host,"Madison Adams, PlantBoi",,Josh/Deeparocks,
