Activity,Day,Timing,Time,"Notes "
"Day of arrivals ",Sunday,,"Morning and afternoon ","This day will be dedicated to everyone arriving and getting checked into the hotel. "
Kickoff Dinner,Sunday,"October 9, 2022 7:00 PM (EDT) → 9:00 PM",7:00pm,"Once everyone is settled in, we will have our first group dinner! "
"Schellng Point ",Monday,"October 10, 2022 10:00 AM (EDT) → 5:00 PM",10:00am,"Hosted by Gitcoin. Working on getting a way to confirm your tickets now. "
Dream DAO Dinner,Monday,"October 10, 2022 6:00 PM (EDT) → 8:00 PM",6:00pm,"We will have a dinner with friends of the DAO at a local restaurant. "
"Devcon ",Tuesday,"October 11, 2022 10:00 AM (EDT) → 5:00 PM",10:00am,"The first day of the conference! "
"Ethereum Next Billion Event ",Tuesday,"October 11, 2022 5:00 PM (EDT) → 7:00 PM",5:00pm,You MUST apply here ASAP: https://docs.google.com/forms/d/e/1FAIpQLSfewb1XLpLPdQ5J5WjPaUfRknjqO8DkfP7AFFKCr1WQ-fKPBQ/viewform
"Madison & Saf speaking at Devcon ",Wednesday,,10:00am,
"Sustainable Blockchain Summit ",Wednesday,"October 12, 2022 10:00 AM (EDT) → 7:00 PM",12:30pm,"You MUST register here ASAP: 
https://sbs.tech/"
"Celo LATAM Happy Hour ",Wednesday,,5:00pm,You MUST register here ASAP: https://www.eventbrite.com/e/celo-latam-happy-hour-tickets-429936631037?aff=odcleoeventsincollection
"Devcon ",Thursday,,10:00am,
[Option for female-identifying attendees to go with Madison] La Womxn in Web3,Thursday,,"9:00am-12:00pm ","You MUST register here ASAP: 
https://www.eventbrite.pt/e/la-womxn-in-web3-tickets-423237955117"
"Blu3 Day Bogota ",Thursday,,"2:30pm ",You MUST register here ASAP: https://www.eventbrite.com/e/blu3-day-bogota-tickets-421437600207
"Open Slot ",Thursday,,"5:00pm ","After 5:00pm we have nothing planned at the moment, feel free to make suggestions! "
"Devcon ",Friday,,10:00am,"Builders will check out of their hotels and can leave their bags in Madison’s room. We will go to Devcon and Builders can head to the airport as they need. "
