Badge,"Requirements ",Type,Level,OpenSea link
DAO Advocate,Add 5 contacts to the CRM,DAO-Wide,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/26
"Task Group Member ",For being a part of a task group with the WG to do a specific task,Governance Working Group,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/18
Financial Awareness,Attend a meeting about the DAO budget,DAO-Wide,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/2
Learner I,Attend 3 Learning Togethers,DAO-Wide,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/3
Note Taker,"For taking notes for 3 DAO meetings (e.g. WG calls, LTs)",DAO-Wide,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/1
"Forward Thinker ",Create a proposal that is able to be brought to vote,DAO-Wide,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/0
"Subcommittee Member ",Join a temporary Partnerships/grants subcommittee,Grants Working Group,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/27
"Teacher ",Host / co-host 1 Learning Together Session,DAO-Wide,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/33
"Application Master ","Create an application for a conference and review the applications ",Gatherings Working Group,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/23
Tech Reviewer,"Review up to 5 alternatives for a technology solution needed by the DAO, write up summary and make a recommendation of a tool to use",Governance Working Group,1️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/17
Honorable Member,Attend at least 8 weekly meetings during the Season,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/24
Internship Scout,"Secured an internship for the Dream DAO Explorers Program with another organization ",DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/30
Superconnector,Add 20 contacts to the CRM,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/28
Connector,Meet 1:1 with 5 community members,Gatherings Working Group,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/22
Master of Ceremonies,"Organized 3 events with at least 10 attendees ",Gatherings Working Group,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/21
Learner II,Attend 6 Learning Togethers,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/10
Voter,Vote on 85% of proposals in one season,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/8
"Contributor ","Have a recurring role for at least one season ",DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/9
Task Group Lead,For successfully leading a task group,Governance Working Group,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/19
"Tech Implementor ",Implement a selected technology,Governance Working Group,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/20
"Election Candidate ",Run in an election for a role in Dream DAO,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/7
Forward Mover,Write a proposal that is accepted by the DAO,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/6
"Bounty Master ","Completing 5 bounties of any type ",DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/5
Community Mod,For one week fulfill the responsibilities of a community mod,DAO-Wide,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/4
"Subcommittee Lead ",Lead a temporary Partnerships/grants subcommittee,Grants Working Group,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/32
"Grant Writer ","Writing and submitting a grant for Dream DAO ",Grants Working Group,2️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/29
Learner III,Attend 10 Learning Togethers,DAO-Wide,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/16
Steward,"Steward the Dream DAO for at least one season ",DAO-Wide,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/15
Leader,"Lead a Working Group for at least one season ",DAO-Wide,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/14
Explorer,Participate as an Explorer in the Dream DAO Explorers Program,DAO-Wide,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/13
"Event Host ",Organize an in-person gathering with Dream DAO,DAO-Wide,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/12
"Conference Attendee ",Attend 1 IRL web3 conference alongside with Dream DAO,DAO-Wide,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/11
"Gatherings Researcher ",Research potential web3 conferences/events and one of them were selected to attend,Gatherings Working Group,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/25
"Fundraiser ",Securing a grant for Dream DAO by writing a grant,Grants Working Group,3️⃣,https://opensea.io/assets/matic/0x1a92cf0eb9097fa48471a2b18fb4a822ea430391/31
,,,,
