link to twitter profile,unique POAP claim link,Following us on twitter? 1,DMed?,Column
https://twitter.com/AndrewL33947270,"
http://POAP.xyz/claim/m5er4i
",Yes,Yes,Asked
https://twitter.com/garysheng,"
http://POAP.xyz/claim/2egrla
",Yes,Yes,Asked
https://twitter.com/thuhhnasi,"
http://POAP.xyz/claim/ivj8sm
",Yes,Yes,Asked
https://twitter.com/RabbitGif,"
http://POAP.xyz/claim/3fd2nc
",Yes,Yes,Asked
https://twitter.com/carl_cervone,"
http://POAP.xyz/claim/nex4sy
",Yes,Yes,Asked
https://twitter.com/0x_orwell,"
http://POAP.xyz/claim/k0ojwk
",Yes,Yes,Asked
https://twitter.com/alks0x,"
http://POAP.xyz/claim/cxr498
",Yes,Yes,Asked
https://twitter.com/Jess_C00kies,"
http://POAP.xyz/claim/j4drnj
",Yes,Yes,Asked
https://twitter.com/KapSlap,"
http://POAP.xyz/claim/06ysy0
",Yes,Yes,Asked
https://twitter.com/MadhavG93133640,"
http://POAP.xyz/claim/4spz4t
",Yes,Yes,Asked
https://twitter.com/qq314278351qq,"
http://POAP.xyz/claim/pif8xj
",Yes,Yes,Asked
https://twitter.com/perreau (asked),"
http://POAP.xyz/claim/kodsn4
",Yes,Yes,Asked
https://twitter.com/ArjunDArora,"
http://POAP.xyz/claim/bq028o
",Yes,Yes,Asked
https://twitter.com/eth_law,"
http://POAP.xyz/claim/741pvo
",Yes,Yes,Asked
https://twitter.com/__shradz,"
http://POAP.xyz/claim/a5gf3k
",Yes,Yes,Asked
https://twitter.com/s_halis (asked),"
http://POAP.xyz/claim/4f7ovd
",Yes,Yes,Asked
"https://twitter.com/fifthworldzach (asked) ","
http://POAP.xyz/claim/59mrdz
",Yes,Yes,Asked
"https://twitter.com/TheEdenDao (asked) ","
http://POAP.xyz/claim/br7qwo
",Yes,Yes,Asked
https://twitter.com/jasonacurry (asked),"
http://POAP.xyz/claim/tql0wg
",Yes,Yes,Asked
"https://twitter.com/solenefeuillu (asked) ","
http://POAP.xyz/claim/1wjbq4
",Yes,Yes,Asked
https://twitter.com/PacMoments,"
http://POAP.xyz/claim/5qnbf4
",Yes,Yes,Asked
https://twitter.com/LarsPeterson,"
http://POAP.xyz/claim/759dxy
",Yes,Yes,Asked
https://twitter.com/mikehistory,"
http://POAP.xyz/claim/2qmo1c
",Yes,Yes,Asked
https://twitter.com/0xbasil (asked),"
http://POAP.xyz/claim/189sf2
",Yes,Yes,Asked
https://twitter.com/HuesdrAwn,"
http://POAP.xyz/claim/yjmlx7
",Yes,Yes,Asked
https://twitter.com/Anonmosity,"
http://POAP.xyz/claim/7ldnn7
",Yes,Yes,Asked
https://twitter.com/chasse,"
http://POAP.xyz/claim/91lzv0
",Yes,Yes,Asked
https://twitter.com/Louweezy27,"
http://POAP.xyz/claim/6b27ad
",Yes,Yes,Asked
https://twitter.com/snailzhu1,"
http://POAP.xyz/claim/fhymqr
",Yes,Yes,Asked
https://twitter.com/b3nnn21,"
http://POAP.xyz/claim/hnhm8y
",Yes,Yes,Asked
https://twitter.com/253absolute,"
http://POAP.xyz/claim/okuw1d
",Yes,Yes,Asked
https://twitter.com/wwww35187301,"
http://POAP.xyz/claim/qzen28
",Yes,Yes,Asked
https://twitter.com/Dogukanyasars,"
http://POAP.xyz/claim/e6224m
",Yes,Yes,Asked
"https://twitter.com/Aselsan1453 (asked) ","
http://POAP.xyz/claim/vxidd7
",Yes,Yes,Asked
https://twitter.com/linkimigeriver,"
http://POAP.xyz/claim/l4g64f
",Yes,Yes,Asked
https://twitter.com/MrScottMeyer,"
http://POAP.xyz/claim/4ftcpm
",Yes,Yes,Asked
https://twitter.com/darryl__yeo,"
http://POAP.xyz/claim/gw9oic
",Yes,Yes,Asked
https://twitter.com/EurekaJohn1,"
http://POAP.xyz/claim/cp7oly
",Yes,Yes,Asked
https://twitter.com/0bmcFDj6uy7oifB,"
http://POAP.xyz/claim/maelbv
",Yes,Yes,Asked
https://twitter.com/velucxa,"
http://POAP.xyz/claim/5ebvl8
",Yes,Yes,Asked
https://twitter.com/apala76,"
http://POAP.xyz/claim/oxpjkx
",Yes,Yes,Asked
https://twitter.com/Pcosen1,"
http://POAP.xyz/claim/z6y2y4
",Yes,Yes,Asked
https://twitter.com/web3teacher,"
http://POAP.xyz/claim/16z7yx
",Yes,Yes,Asked
https://twitter.com/MysticAxie,"
http://POAP.xyz/claim/8p2js2
",Yes,Yes,Asked
https://twitter.com/kittylove2045,"
http://POAP.xyz/claim/uwutuu
",Yes,Yes,Asked
https://twitter.com/ytiomin,"
http://POAP.xyz/claim/y80vzj
",Yes,Yes,Asked
https://twitter.com/haci_haytaoglu,"
http://POAP.xyz/claim/s3ebwk
",Yes,Yes,Asked
https://twitter.com/ellebeecher,"
http://POAP.xyz/claim/gu5xy0
",Yes,Yes,Asked
https://twitter.com/Iookitsmorgan,"
http://POAP.xyz/claim/org3fr
",Yes,Yes,Asked
https://twitter.com/strangestloop,"
http://POAP.xyz/claim/z5b1xg
",Yes,Yes,Asked
https://twitter.com/morganbrandso,"
http://POAP.xyz/claim/saw6eo
",Yes,Yes,Asked
https://twitter.com/zg0119,"
http://POAP.xyz/claim/85sl61
",Yes,Yes,Asked
https://twitter.com/rishadyamnoor,"
http://POAP.xyz/claim/hynp7y
",Yes,Yes,Asked
https://twitter.com/Baroktrades,"
http://POAP.xyz/claim/dw4a2x
",Yes,Yes,Asked
https://twitter.com/Lhhhhhhhhh1,"
http://POAP.xyz/claim/2ow5z3
",Yes,Yes,Asked
https://twitter.com/Tsai_1123,"
http://POAP.xyz/claim/j4xugj
",Yes,Yes,Asked
https://twitter.com/RobbWebbb,"
http://POAP.xyz/claim/povvt5
",Yes,Yes,Asked
https://twitter.com/markthepixel,"
http://POAP.xyz/claim/1od7ul
",Yes,Yes,Asked
https://twitter.com/umarkhaneth,"
http://POAP.xyz/claim/twl47h
",Yes,Yes,Asked
https://twitter.com/tcrypto35057699,"
http://POAP.xyz/claim/f97kyg
",Yes,Yes,Asked
https://twitter.com/meteverse,"
http://POAP.xyz/claim/k9891j
",Yes,Yes,Asked
https://twitter.com/shalinpei,"
http://POAP.xyz/claim/ztvgk6
",Yes,Yes,Asked
https://twitter.com/Fortuna45873748,"
http://POAP.xyz/claim/f695hr
",Yes,Yes,Asked
https://twitter.com/smalkana,"
http://POAP.xyz/claim/ropsnb
",Yes,Yes,Asked
