link to twitter profile,unique POAP claim link,Following us on twitter?,DMed?,Column
https://twitter.com/rthvel,"
http://POAP.xyz/claim/piy6om
",Yes,Yes,
https://twitter.com/BLUESKY77778755,"
http://POAP.xyz/claim/muofkj
",Yes,Yes,
https://twitter.com/gsymmy,"
http://POAP.xyz/claim/bx1dlq
",Yes,Yes,
https://twitter.com/Heearn,"
http://POAP.xyz/claim/2ok70f
",Yes,Yes,Link not used
https://twitter.com/all4climatedao,"
http://POAP.xyz/claim/jdonx0
",Yes,Yes,
https://twitter.com/xdamman,"
http://POAP.xyz/claim/w6xdo9
",Yes,Yes,
https://twitter.com/Leebao79683347,"
http://POAP.xyz/claim/t9iky7
",Yes,Yes,Link not used
https://twitter.com/IvanVasilko,"
http://POAP.xyz/claim/m7qja6
",Yes,Yes,
https://twitter.com/FORFRIE,"
http://POAP.xyz/claim/sask6k
",Yes,Yes,
https://twitter.com/super6688,"
http://POAP.xyz/claim/m0iz7o
",Yes,Yes,Link not used
https://twitter.com/ariellelok,"
http://POAP.xyz/claim/tghbbs
",Yes,Yes,
https://twitter.com/dai12307614257,"
http://POAP.xyz/claim/baxx0g
",Yes,Yes,
https://twitter.com/jaiyagill,"
http://POAP.xyz/claim/uike8e
",Yes,Yes,
https://twitter.com/nparasram,"
http://POAP.xyz/claim/0g21ln
",Yes,Yes,
https://twitter.com/CryptoMaestro,"
http://POAP.xyz/claim/1cf8df
",Yes,Yes,Link not used
https://twitter.com/_Vedanth_,"
http://POAP.xyz/claim/mw5pfq
",Yes,Yes,
https://twitter.com/ethanweii,"
http://POAP.xyz/claim/31b43n
",Yes,Yes,
https://twitter.com/tomsegal,"
http://POAP.xyz/claim/9qf1it
",Yes,Yes,
https://twitter.com/stogiemonster,"
http://POAP.xyz/claim/v4aqlz
",Yes,Yes,
https://twitter.com/Mayumi04143644,"
http://POAP.xyz/claim/h7ofda
",Yes,Yes,Link not used
https://twitter.com/VritiSaraf,"
http://POAP.xyz/claim/ivberc
",Yes,Yes,
https://twitter.com/yitiaoyu610,"
http://POAP.xyz/claim/xp5cnq
",Yes,Yes,
https://twitter.com/beansbtc,"
http://POAP.xyz/claim/izsgrk
",Yes,Yes,Link not used
https://twitter.com/Alaopang,"
http://POAP.xyz/claim/68387z
",Yes,Yes,
https://twitter.com/davidesilverman,"
http://POAP.xyz/claim/e7ocnw
",Yes,Yes,Replied
https://twitter.com/lzcnaon,"
http://POAP.xyz/claim/xlsfg8
",Yes,Yes,
https://twitter.com/XX14391,"
http://POAP.xyz/claim/rhhmvt
",Yes,Yes,
https://twitter.com/AyouthAA,"
http://POAP.xyz/claim/jwhdsl
",Yes,Yes,
https://twitter.com/Lixiao5200,"
http://POAP.xyz/claim/efg9wb
",Yes,Yes,
https://twitter.com/chris3collins,"
http://POAP.xyz/claim/yfbpwd
",Yes,Yes,
https://twitter.com/Phoebe_Vu,"
http://POAP.xyz/claim/sgzw9z
",Yes,Yes,
https://twitter.com/SwordZgz,"
http://POAP.xyz/claim/uci24p
",Yes,Yes,
https://twitter.com/kong77716102,"
http://POAP.xyz/claim/hbpqjg
",Yes,Yes,
https://twitter.com/manyoloswag,"
http://POAP.xyz/claim/b7t2yp
",Yes,Yes,
https://twitter.com/super88889,"
http://POAP.xyz/claim/y41qr1
",Yes,Yes,
