Name,Created time,Property,POAP Admin Link,Files & media
POAP Delivery for Mexico Meet-up,"June 30, 2023 10:03 PM",Joshua Cruz,"https://app.poap.xyz/admin/events/dream-dao-in-mexico-city-f09f87b2f09f87bd-2023 ",POAPs%20Database%20ded524c1e3dd4aa1b26e267a4f5edb32/links.txt
POAP Delivery for Learning Together #79: A Novel Ideas Engine: Using DAOs to Scale Regenerative Systems,"June 17, 2023 10:46 PM",Joshua Cruz,https://app.poap.xyz/admin/events/dream-dao-learning-together-23793a-a-novel-ideas-engine3a-using-daos-to-scale-regenerative-systems-2023,
POAP Delivery for Learning Together #78: Web3 Hackathons,"June 15, 2023 9:41 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23783a-web3-hackathons-2023,
POAP Delivery for Learning Together #77: Social Media and Marketing,"June 3, 2023 5:49 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23773a-social-media-and-marketing-2023,
POAP Delivery for Learning Together 76: Liberating Structures,"May 22, 2023 9:36 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-763a-liberating-structures-2023,
POAP Delivery for Learning Together #75: Web3 and Social Impact,"May 15, 2023 12:01 AM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23753a-web3-and-social-impact-2023,
POAP Delivery for Learning Together #74: Impact and Regenerative Finance,"April 24, 2023 4:32 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23743a-impact-and-regenerative-finance-2023,
POAP Delivery for Learning Together #73: Wallets,"April 4, 2023 2:01 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23733a-wallets-2023,
POAP Delivery for Learning Together #72: Improving DAOs,"March 31, 2023 12:54 AM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23723a-improving-daos-2023,
POAP Delivery for Learning Together #71: Soulbound Tokens,"March 25, 2023 11:06 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23713a-soulbound-tokens-2023,
POAP Delivery for Learning Together #70: DAO: The New Political Economy,"March 23, 2023 11:06 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23703a-dao3a-the-new-political-economy-2023,
POAP Delivery for Learning Together #69: ReFi with Beltran Berrocal,"March 12, 2023 6:10 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23693a-refi-with-beltran-berrocal-2023,
POAP Delivery for Learning Together #68: Solarpunk,"February 25, 2023 8:41 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23683a-solarpunk-2023,
"POAP Delivery for Learning Together #67: Overcoming Impostor Syndrome, Embracing Curiosity, and Other Tools for Success","February 10, 2023 11:34 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23673a-overcoming-impostor-syndrome2c-embracing-curiosity2c-and-other-tools-for-success-2023,
POAP Delivery for Season 3 Bootcamp - Third Week,"February 4, 2023 3:43 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-season-3-bootcamp-third-week-2023,
POAP Delivery for Learning Together #66: Networking in Web3,"February 4, 2023 1:14 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23663a-networking-in-web3-2023,
POAP Delivery for Season 3 Bootcamp - Second Week,"January 27, 2023 4:40 PM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-season-3-bootcamp-second-week-2023,
POAP Delivery for Learning Together #65: All About Art and NFTs,"January 23, 2023 2:42 AM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-learning-together-23653a-all-about-art-and-nfts-2023,
POAP Delivery for Season 3 Bootcamp - First Week,"January 20, 2023 1:04 AM",Joshua Cruz,https://app.poap.xyz/admin/events/5bdream-dao5d-season-3-bootcamp-first-week-2023,
POAP Delivery for Learning Together #63: Crypto Taxes,"December 16, 2022 7:37 PM",Joshua Cruz,,
POAP Delivery for Learning Together #62: ReFi in Action,"November 20, 2022 7:23 PM",Joshua Cruz,,
POAP Delivery for Learning Together #61: Devcon Discussion,"November 5, 2022 9:54 PM",Joshua Cruz,,
POAP Delivery for Learning Together #60: Regen Network,"November 5, 2022 9:46 PM",Joshua Cruz,,
POAP Delivery for DAOWEEN 2022,"October 30, 2022 12:27 AM",Joshua Cruz,,
POAP Delivery for Learning Together #59: VitaDAO,"October 30, 2022 12:03 AM",Joshua Cruz,,
POAP Delivery for Learning Together #56: Gitcoin,"October 29, 2022 11:54 PM",Joshua Cruz,,
POAP Delivery for Learning Together #58: The DAO Landscape in 2022,"October 22, 2022 11:07 PM",Joshua Cruz,,
POAP Delivery for Learning Together #57: Web3 & Education,"October 22, 2022 5:11 PM",Joshua Cruz,,
POAP Delivery for Learning Together #55: The Decentralized Mind,"October 7, 2022 4:57 PM",Joshua Cruz,,
POAP Delivery for Learning Together #54: Unearthing Common Ground,"October 1, 2022 12:45 PM",Joshua Cruz,,
POAP Delivery for Learning Together #53: Humanity Cash,"September 30, 2022 12:08 AM",Joshua Cruz,,
POAP Delivery for Learning Together #52: NFT Ecosystem at Celo,"September 24, 2022 2:19 AM",Joshua Cruz,,
POAP Delivery for Learning Together #51: Payment Systems and Web3,"September 17, 2022 11:42 PM",Joshua Cruz,,
POAP Delivery for Learning Together #50: “LatAm”,"September 16, 2022 7:31 PM",Joshua Cruz,,
POAP Delivery for Learning Together #49: LatAm,"September 14, 2022 1:04 PM",Joshua Cruz,,
POAP Delivery for Learning Together #48: RADAR,"September 4, 2022 1:55 PM",Joshua Cruz,,
POAP Delivery for Learning Together #47: Blockchain and Token Evolution,"September 2, 2022 2:32 PM",Joshua Cruz,,
"POAP Delivery for Learning Together #46: Climate Narrative Through Art ","August 29, 2022 1:52 PM",Joshua Cruz,,
POAP Delivery for Learning Together #45: DeSci with Special Guests,"August 27, 2022 3:32 PM",Joshua Cruz,,
POAP Delivery for Learning Together #44: Web3 in the Field,"August 25, 2022 1:09 AM",Joshua Cruz,,
"POAP Delivery for Learning Together #43: Impact, SDGs, & Web3","August 17, 2022 1:33 PM",Joshua Cruz,,
POAP Delivery for Learning Together #42: Web3 x Social Impact Fundamentals,"August 10, 2022 1:55 AM",Joshua Cruz,,
POAP Delivery for Learning Together #41: Raiz Vertical Farms,"August 1, 2022 1:25 AM",Joshua Cruz,,
POAP Delivery for Learning Together #40: DAO Champions,"July 29, 2022 1:53 AM",Joshua Cruz,,
POAP Delivery for Learning Together #39: Local Currencies,"July 22, 2022 12:03 AM",Joshua Cruz,,
POAP Delivery for Learning Together #38: ReFi | The Intersection of Climate & Crypto,"July 21, 2022 5:00 PM",Joshua Cruz,,
POAP Delivery for Learning Together #37: Wallets and ENS,"July 12, 2022 8:59 PM",Joshua Cruz,,
POAP Delivery for Learning Together #36: Immanent Metaphysics,"July 2, 2022 6:18 PM",Joshua Cruz,,
