Organization,how can this impact the DAOs learning?,website,contact info," proposal","message/outreach "
Quickbeam,,https://quickbeam.xyz/,,"Amanda: Mel (champion) shared this with me, they have some courses. Quoting ‘’Need to embrace Blockchain technologies on your team? Let us help you bridge the gap internally. From in-browser learning modules to in-person cohort bootcamps we'll walk the learning path with your team.https://calendly.com/heathercorallo/quickbeam-for-teams’’","Mel (Champion, @Mel_AMC on telegram)"
"Consensys ",,https://consensys.net/academy/bootcamp/,,"Amanda: their Content Licensing would be great to have as a resource for next bootcamp + potential study sessions https://consensys.net/academy/partnerships/

Potential workshop? Potential DDEP Host? https://courses.consensys.net/collections?page=1

Their bootcamp is not live yet, this year, but I added myself to their waiting list so I can get notified when is up",
Alchemy,,https://university.alchemy.com/home,,,
"Dapp University ",,https://www.dappuniversity.com/,,,
zerotomastery,,https://zerotomastery.io/courses/blockchain-developer-bootcamp/,,,
almabetter,,https://www.almabetter.com/courses/full-stack-web-development?&utm_source=google&utm_medium=web_development&utm_campaign=WebDevelopment|web3|Search|Generic&utm_content=all_communication&utm_term=textad&keyword=blockchain%20engineer%20training&cid=19793060296&agid=146789559517&device=c&gad=1&gclid=Cj0KCQjw3a2iBhCFARIsAD4jQB0tOoXjBf7fCvasyXK1kGmBAxrPf7j1zuTM-tDt_TwuV0Iv2uDzbnwaAiilEALw_wcB,,,
mastersunion,,https://mastersunion.org/mastercamps/pro-blockchain-developer-mastercamp,,,
Udacity,,https://www.udacity.com/course/blockchain-developer-nanodegree--nd1309,,,
EDX,,https://www.edx.org/professional-certificate/uc-berkeleyx-blockchain-fundamentals?irclickid=V%3AZwXgWQ0xyNR-S2C4QOe328UkAVyCRsZ2jkwA0&utm_source=affiliate&utm_medium=Hackrio&utm_campaign=edX%20Tracking%20Link_&utm_content=TEXT_LINK&irgwc=1,,,
Adamnite,Provides 1000 USD microgrants for any blockchjain projects,https://adamnite.org/,,,
Contrary,"A investment company that has individuals from TKS in it and might be willing to help DreamDAO with courses, partnerships with other clients of theirs in social impact * technology/web3 space",https://applications.contrary.com/?program=Contrary+NYC,,"Amanda: they have a research program, maybe we could talk about it with them, see if we can arrange a spot for DDEP and learning resources to builders, they also have a spot in NYC for networking etc, we could check if 1-2 champions could have a month membership or something @Timofei Dort-Golts @PlantBoi @Rebeca Lissa for thoughts ",
Thirdweb,"They do a lot of stuff to help builders in the web3 space, have a lot of resources",https://thirdweb.com/,"we can get in touch with Amanda: Samina, she was a LT guest last year",Amanda: we could try for a workshop about smart contracts?,
BuilderGroop,"I (Aaryan) know the co-founder and they have a lot of partners, docs, resources for young builders which would be very benefitial for DreamDAO",https://book.buildergroop.com/,,"Amanda: we could have a DD group with builders and champs https://hacks.buildergroop.com/ during September, or maybe co-create a DD hackathon for s4 (we invite Cartesi to take part in this + Celo), open to DD builders and champs, but we could have 2-3 workshops and 1-2 challenges/bounties for external community @Rebeca Lissa @Timofei Dort-Golts @PlantBoi @Aaryan Chadha for thoughts ",
Metana,,https://metana.io/web3-solidity-bootcamp-ethereum-blockchain/,,Amanda: very expensive as well + too advanced,
Rareskill,,https://www.rareskills.io/web3-blockchain-bootcamps,,,
Bootcamp,,https://bootcamp.web3.foundation/,,"Amanda: their courses cost around 1k to 2,5k I am not sure if they would be open to give any sort of free experience + too advanced ",
Bloom Tech,,https://www.bloomtech.com/courses/full-stack-web-development,,,
